Ticker,Time,Millisec,LastPrice,Volume,BidVolume1,BidPrice1,AskVolume1,AskPrice1
IF1502,13:00:58,600,3405,239510,4,3405,8,3405.2
IF1502,13:00:59,100,3405.2,239539,2,3405.2,2,3405.4
IF1502,13:00:59,600,3404.6,239556,4,3404.6,7,3405
IF1502,13:01:00,100,3404.4,239568,5,3404.4,5,3404.6
IF1502,13:01:00,600,3404.8,239589,5,3404.4,1,3404.8
IF1502,13:01:01,100,3404.2,239601,42,3404.2,14,3404.6
IF1502,13:01:01,600,3404.6,239608,10,3404.4,13,3404.6
IF1502,13:01:02,100,3404.6,239616,12,3404.4,1,3404.6
IF1502,13:01:02,600,3404.8,239622,11,3404.8,3,3405
IF1502,13:01:03,100,3405.4,239643,13,3404.8,1,3405.2
IF1502,13:01:03,600,3405,239656,14,3404.8,1,3405.4
IF1502,13:01:04,100,3404.8,239669,2,3404.8,6,3405
IF1502,13:01:04,600,3405,239670,3,3404.8,1,3405
IF1502,13:01:05,100,3404.8,239673,67,3404.6,3,3404.8
IF1502,13:01:05,600,3404.6,239685,61,3404.6,10,3404.8
IF1502,13:01:06,100,3404.4,239762,30,3404.2,3,3404.4
IF1502,13:01:06,600,3404.2,239776,21,3404.2,2,3404.4
IF1502,13:01:07,100,3404.2,239796,1,3404.2,2,3404.4
IF1502,13:01:07,600,3403.8,239812,2,3403.8,1,3404
IF1502,13:01:08,100,3403.6,239825,12,3403.4,1,3403.8
IF1502,13:01:08,600,3403.4,239828,4,3403.4,4,3403.8
IF1502,13:01:09,100,3403.8,239832,1,3403.4,3,3403.8
IF1502,13:01:09,600,3403.8,239837,4,3403.4,2,3403.6
IF1502,13:01:51,600,3402.8,240715,6,3402.8,63,3403
IF1502,13:01:52,100,3402.6,240732,42,3402.6,4,3402.8
IF1502,13:01:52,600,3402.6,240750,26,3402.6,3,3402.8
IF1502,13:01:53,100,3402.6,240767,10,3402.6,7,3403
IF1502,13:01:53,600,3402.8,240775,9,3402.6,1,3402.8
IF1502,13:01:54,100,3403,240780,10,3402.8,3,3403
IF1502,13:01:54,600,3403,240784,9,3402.8,1,3403
IF1502,13:01:55,100,3403.2,240796,5,3402.8,11,3403.2
IF1502,13:01:55,600,3403.2,240798,8,3403,6,3403.2
IF1502,13:01:56,100,3403,240799,13,3403,8,3403.2
IF1502,13:01:56,600,3403.2,240802,6,3403,8,3403.2
IF1502,13:01:57,100,3403,240808,1,3403,12,3403.2
IF1502,13:01:57,600,3403.2,240810,10,3402.8,2,3403
IF1502,13:01:58,100,3403.2,240849,5,3403.2,14,3403.4
